Годвып;Пробег;Серия;КолвохозяевпоПТС;Лошадки;Состояние;квадратсерии;квадратвозраста;квадратпробега;Цена
28;80000;1;3;129;1;1;784;6400000000;12000
23;45000;2;2;192;3;4;529;2025000000;16000
32;150000;2;3;125;1;4;1024;22500000000;20000
31;100000;2;1;125;3;4;961;10000000000;20000
25;300000;3;3;188;1;9;625;90000000000;24900
31;300000;2;3;125;1;4;961;90000000000;30000
23;218000;2;3;129;2;4;529;47524000000;31000
20;123000;2;3;192;1;4;400;15129000000;35000
22;300000;2;1;143;1;4;484;90000000000;40000
23;266000;1;3;115;2;1;529;70756000000;40000
24;265000;2;2;170;1;4;576;70225000000;40000
32;250000;2;2;125;2;4;1024;62500000000;43000
22;223000;2;1;192;2;4;484;49729000000;45000
25;200000;2;3;129;2;4;625;40000000000;45000
22;112000;3;3;188;2;9;484;12544000000;47532
27;330000;1;3;113;1;1;729;108900000000;50000
28;289000;1;3;129;3;1;784;83521000000;50000
26;250000;3;3;197;1;9;676;62500000000;50000
31;239983;2;2;125;2;4;961;57591840289;50000
22;200000;2;2;150;1;4;484;40000000000;50000
32;200000;2;2;125;2;4;1024;40000000000;50000
24;200000;2;3;129;2;4;576;40000000000;50000
26;188000;3;3;211;1;9;676;35344000000;50000
32;110000;2;2;125;2;4;1024;12100000000;50000
22;221000;2;2;150;3;4;484;48841000000;51200
32;280000;2;3;125;2;4;1024;78400000000;52000
22;223000;2;1;192;2;4;484;49729000000;52000
28;250000;3;2;184;1;9;784;62500000000;55000
30;150000;1;1;105;2;1;900;22500000000;58000
30;300000;1;3;129;3;1;900;90000000000;60000
25;250000;1;3;115;1;1;625;62500000000;60000
22;250000;2;3;211;1;4;484;62500000000;60000
15;199000;2;2;192;2;4;225;39601000000;60000
21;193000;2;3;150;1;4;441;37249000000;60000
26;100000;2;1;170;2;4;676;10000000000;60000
23;400000;2;3;150;1;4;529;160000000000;63000
23;320000;2;3;150;1;4;529;102400000000;65000
25;250000;2;3;211;1;4;625;62500000000;65000
23;250000;2;3;170;1;4;529;62500000000;65000
25;225000;2;3;170;1;4;625;50625000000;65000
29;190000;2;3;129;2;4;841;36100000000;65000
22;221000;2;2;150;3;4;484;48841000000;65600
30;294000;2;3;125;2;4;900;86436000000;70000
25;279967;2;2;150;2;4;625;78381521089;70000
23;250000;2;3;150;1;4;529;62500000000;70000
30;230000;1;3;150;2;1;900;52900000000;70000
27;220000;1;3;129;1;1;729;48400000000;70000
21;120000;2;2;150;1;4;441;14400000000;70000
22;97000;3;3;218;1;9;484;9409000000;70000
23;50000;2;3;211;1;4;529;2500000000;70000
28;30000;2;3;129;2;4;784;900000000;70000
21;225000;2;3;150;1;4;441;50625000000;73000
24;395000;2;3;129;2;4;576;156025000000;75000
27;237000;2;2;184;2;4;729;56169000000;75000
25;225000;2;3;170;1;4;625;50625000000;75000
22;235000;3;2;188;2;9;484;55225000000;76000
23;234000;2;3;150;2;4;529;54756000000;78000
22;221000;2;2;150;3;4;484;48841000000;78400
24;256000;2;3;170;1;4;576;65536000000;79000
